tempo;158s;temperatura;36.00°C
tempo;159s;temperatura;36.00°C
tempo;160s;temperatura;36.00°C
tempo;161s;temperatura;35.50°C
tempo;162s;temperatura;35.75°C
tempo;163s;temperatura;36.25°C
tempo;164s;temperatura;35.75°C
tempo;165s;temperatura;36.00°C
tempo;166s;temperatura;36.00°C
tempo;167s;temperatura;35.25°C
tempo;168s;temperatura;36.00°C
tempo;169s;temperatura;35.75°C
tempo;170s;temperatura;36.25°C
tempo;171s;temperatura;35.75°C
tempo;172s;temperatura;36.25°C
tempo;173s;temperatura;36.25°C
tempo;174s;temperatura;36.25°C
tempo;175s;temperatura;35.75°C
tempo;176s;temperatura;36.25°C
tempo;177s;temperatura;36.00°C
tempo;178s;temperatura;36.25°C
tempo;179s;temperatura;36.25°C
tempo;180s;temperatura;35.75°C
tempo;181s;temperatura;36.25°C
tempo;182s;temperatura;36.00°C
tempo;183s;temperatura;36.25°C
tempo;184s;temperatura;36.00°C
tempo;185s;temperatura;36.00°C
tempo;186s;temperatura;36.25°C
tempo;187s;temperatura;36.50°C
tempo;188s;temperatura;36.00°C
tempo;189s;temperatura;36.25°C
tempo;190s;temperatura;36.50°C
tempo;191s;temperatura;36.50°C
tempo;192s;temperatura;36.50°C
tempo;193s;temperatura;36.25°C
tempo;194s;temperatura;36.50°C
tempo;195s;temperatura;36.50°C
tempo;196s;temperatura;36.25°C
tempo;197s;temperatura;36.50°C
tempo;198s;temperatura;36.75°C
tempo;199s;temperatura;36.50°C
tempo;200s;temperatura;36.50°C
tempo;201s;temperatura;36.75°C
tempo;202s;temperatura;36.75°C
tempo;203s;temperatura;36.50°C
tempo;204s;temperatura;36.75°C
tempo;205s;temperatura;37.00°C
tempo;206s;temperatura;37.25°C
tempo;207s;temperatura;36.50°C
tempo;208s;temperatura;36.50°C
tempo;209s;temperatura;36.75°C
tempo;210s;temperatura;36.75°C
tempo;211s;temperatura;36.75°C
tempo;212s;temperatura;37.00°C
tempo;213s;temperatura;37.00°C
tempo;214s;temperatura;36.75°C
tempo;215s;temperatura;37.25°C
tempo;216s;temperatura;37.00°C
tempo;217s;temperatura;37.00°C
tempo;218s;temperatura;37.25°C
tempo;219s;temperatura;37.00°C
tempo;220s;temperatura;37.25°C
tempo;221s;temperatura;37.25°C
tempo;222s;temperatura;37.00°C
tempo;223s;temperatura;36.75°C
tempo;224s;temperatura;37.25°C
tempo;225s;temperatura;37.50°C
tempo;226s;temperatura;37.25°C
tempo;227s;temperatura;37.50°C
tempo;228s;temperatura;37.50°C
tempo;229s;temperatura;37.50°C
tempo;230s;temperatura;37.50°C
tempo;231s;temperatura;37.50°C
tempo;232s;temperatura;37.25°C
tempo;233s;temperatura;37.25°C
tempo;234s;temperatura;37.50°C
tempo;235s;temperatura;37.50°C
tempo;236s;temperatura;37.75°C
tempo;237s;temperatura;37.75°C
tempo;238s;temperatura;37.75°C
tempo;239s;temperatura;38.00°C
tempo;240s;temperatura;37.75°C
tempo;241s;temperatura;38.00°C
tempo;242s;temperatura;37.75°C
tempo;243s;temperatura;37.75°C
tempo;244s;temperatura;37.75°C
tempo;245s;temperatura;37.50°C
tempo;246s;temperatura;37.75°C
tempo;247s;temperatura;38.00°C
tempo;248s;temperatura;38.00°C
tempo;249s;temperatura;38.00°C
tempo;250s;temperatura;38.25°C
tempo;251s;temperatura;37.75°C
tempo;252s;temperatura;38.25°C
tempo;253s;temperatura;37.75°C
tempo;254s;temperatura;38.00°C
tempo;255s;temperatura;38.25°C
tempo;256s;temperatura;38.00°C
tempo;257s;temperatura;38.25°C
tempo;258s;temperatura;37.75°C
tempo;259s;temperatura;38.50°C
tempo;260s;temperatura;38.50°C
tempo;261s;temperatura;38.25°C
tempo;262s;temperatura;38.50°C
tempo;263s;temperatura;38.50°C
tempo;264s;temperatura;38.50°C
tempo;265s;temperatura;38.25°C
tempo;266s;temperatura;38.25°C
tempo;267s;temperatura;38.75°C
tempo;268s;temperatura;39.00°C
tempo;269s;temperatura;38.50°C
tempo;270s;temperatura;39.00°C
tempo;271s;temperatura;39.00°C
tempo;272s;temperatura;38.50°C
tempo;273s;temperatura;39.00°C
tempo;274s;temperatura;38.50°C
tempo;275s;temperatura;39.25°C
tempo;276s;temperatura;38.75°C
tempo;277s;temperatura;39.25°C
tempo;278s;temperatura;38.75°C
tempo;279s;temperatura;39.25°C
tempo;280s;temperatura;39.00°C
tempo;281s;temperatura;39.50°C
tempo;282s;temperatura;39.00°C
tempo;283s;temperatura;39.25°C
tempo;284s;temperatura;39.75°C
tempo;285s;temperatura;39.50°C
tempo;286s;temperatura;39.25°C
tempo;287s;temperatura;39.50°C
tempo;288s;temperatura;39.50°C
tempo;289s;temperatura;39.50°C
tempo;290s;temperatura;39.25°C
tempo;291s;temperatura;39.25°C
