tempo;3s;temperatura;34.00°C
tempo;4s;temperatura;33.75°C
tempo;5s;temperatura;33.25°C
tempo;6s;temperatura;33.75°C
tempo;7s;temperatura;33.25°C
tempo;8s;temperatura;32.75°C
tempo;9s;temperatura;33.75°C
tempo;10s;temperatura;33.75°C
tempo;11s;temperatura;33.50°C
tempo;12s;temperatura;33.50°C
tempo;13s;temperatura;33.50°C
tempo;14s;temperatura;33.00°C
tempo;15s;temperatura;33.50°C
tempo;16s;temperatura;33.50°C
tempo;17s;temperatura;33.00°C
tempo;18s;temperatura;33.75°C
tempo;19s;temperatura;33.00°C
tempo;20s;temperatura;33.00°C
tempo;21s;temperatura;33.50°C
tempo;22s;temperatura;33.25°C
tempo;23s;temperatura;33.50°C
tempo;24s;temperatura;33.00°C
tempo;25s;temperatura;33.75°C
tempo;26s;temperatura;33.50°C
tempo;27s;temperatura;33.25°C
tempo;28s;temperatura;33.25°C
tempo;29s;temperatura;33.50°C
tempo;30s;temperatura;33.50°C
tempo;31s;temperatura;33.50°C
tempo;32s;temperatura;33.50°C
tempo;33s;temperatura;33.25°C
tempo;34s;temperatura;33.00°C
tempo;35s;temperatura;33.50°C
tempo;36s;temperatura;33.25°C
tempo;37s;temperatura;33.50°C
tempo;38s;temperatura;33.00°C
tempo;39s;temperatura;33.25°C
tempo;40s;temperatura;33.50°C
tempo;41s;temperatura;33.50°C
tempo;42s;temperatura;33.25°C
tempo;43s;temperatura;33.25°C
tempo;44s;temperatura;33.50°C
tempo;45s;temperatura;33.50°C
tempo;46s;temperatura;33.25°C
tempo;47s;temperatura;33.25°C
tempo;48s;temperatura;33.25°C
tempo;49s;temperatura;33.50°C
tempo;50s;temperatura;33.25°C
tempo;51s;temperatura;33.50°C
tempo;52s;temperatura;33.00°C
tempo;53s;temperatura;33.00°C
tempo;54s;temperatura;33.50°C
tempo;55s;temperatura;33.25°C
tempo;56s;temperatura;33.25°C
tempo;57s;temperatura;33.50°C
tempo;58s;temperatura;33.50°C
tempo;59s;temperatura;33.50°C
tempo;60s;temperatura;33.25°C
tempo;61s;temperatura;33.50°C
tempo;62s;temperatura;32.75°C
tempo;63s;temperatura;33.25°C
tempo;64s;temperatura;33.25°C
tempo;65s;temperatura;33.50°C
tempo;66s;temperatura;33.50°C
tempo;67s;temperatura;33.00°C
tempo;68s;temperatura;33.25°C
tempo;69s;temperatura;33.50°C
tempo;70s;temperatura;33.25°C
